Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
133,40,85,78,False,3.8,0,8/2/2024 12:15:06 PM,False,0,1,86,34.6,1434,,3.8,3,8/2/2024 12:38:55 PM,False,0,1,937B0677,86,2,13,GF,40/85,994,994,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.4,0,1,0.28,0.21,0,0,0,1,0,28,False,True,0,0,51,38,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.5,0,1,0.28,0.21,0,0,0,1,0,28,False,True,0,0,49,35,24,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,3.7,0,1,0.28,0.21,0,0,99,1,0,27,False,True,0,0,49,35,24,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,3.9,0,1,0.29,0.21,0,0,99,1,0,27,False,True,0,0,51,37,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,3.8,0,1,0.29,0.21,0,0,99,1,0,27,False,True,0,0,51,37,25,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,3.8,0,1,0.28,0.21,0,0,99,1,0,27,False,True,0,0,51,37,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,4,0,1,0.29,0.21,0,0,99,1,0,27,False,True,0,0,49,35,24,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,4,0,1,0.29,0.21,0,0,99,1,0,27,False,True,0,0,51,35,25,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,4,0,1,0.29,0.21,0,0,99,1,0,27,False,True,0,0,60,42,29,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,4.2,0,1,0.29,0.21,0,0,99,1,0,26,False,True,0,0,52,38,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,4.4,0,1,0.3,0.21,0,0,99,1,0,26,False,True,0,0,51,38,27,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,5,0,1,0.31,0.21,0,0,99,1,0,26,False,True,0,0,49,34,23,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,5.4,0,1,0.32,0.21,0,0,99,1,0,26,False,True,0,0,51,37,27,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,6,0,1,0.33,0.21,0,0,99,1,0,26,False,True,0,0,51,38,27,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,6.3,0,1,0.34,0.21,0,0,99,1,0,26,False,True,0,0,51,38,25,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,6.7,0,1,0.34,0.21,0,0,99,1,0,26,False,True,0,0,52,38,28,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,6.8,0,1,0.35,0.21,0,0,99,1,0,26,False,True,0,0,52,38,27,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,7,0,1,0.35,0.21,0,0,99,1,0,26,False,True,0,0,50,36,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,7.2,0,1,0.36,0.21,0,0,99,1,0,26,False,True,0,0,51,37,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,7.3,0,1,0.36,0.21,0,0,99,1,0,26,False,True,0,0,49,36,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,7.5,0,1,0.36,0.21,0,0,99,1,0,26,False,True,0,0,50,36,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,7.8,0,1,0.37,0.21,0,0,99,1,0,26,False,True,0,0,51,37,27,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,8.1,0,1,0.37,0.21,0,0,99,1,0,26,False,True,0,0,51,38,27,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,8.3,0,1,0.38,0.21,0,0,99,1,0,26,False,True,0,0,50,36,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,8.7,0,1,0.39,0.21,0,0,99,1,0,26,False,True,0,0,52,39,28,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,9.1,0,1,0.4,0.21,0,0,99,1,0,26,False,True,0,0,51,37,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,9.400001,0,1,0.4,0.21,0,0,99,1,0,26,False,True,0,0,51,37,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,9.7,0,1,0.41,0.21,0,0,99,1,0,25,False,True,0,0,50,36,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,10.1,0,1,0.42,0.21,0,0,99,1,0,25,False,True,0,0,50,37,25,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,10.6,0,1,0.43,0.21,0,0,99,1,0,25,False,True,0,0,52,38,26,3.81,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
