Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
128,40,85,153,False,3.9,1,7/28/2024 2:30:24 PM,False,0,1,86,5.7,1464,,3.9,1,7/28/2024 2:54:48 PM,False,0,1,937B0677,86,2,13,GF,40/85,1002,1002,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.6,0,1,0.24,0.21,0,0,0,1,0,27,False,True,0,0,50,37,24,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1.5,0,1,0.24,0.21,0,0,0,1,0,27,False,True,0,0,52,38,26,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.5,0,1,0.24,0.21,0,0,0,1,0,26,False,True,0,0,51,38,26,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,1.7,0,1,0.24,0.21,0,0,0,1,0,26,False,True,0,0,57,40,29,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,1.9,0,1,0.25,0.21,0,0,0,1,0,26,False,True,0,0,59,45,31,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,1.8,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,53,38,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,2,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,54,38,28,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,2.2,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,51,39,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,2.3,0,1,0.26,0.21,0,0,99,1,0,26,False,True,0,0,53,40,29,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,2.4,0,1,0.26,0.21,0,0,99,1,0,26,False,True,0,0,52,37,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,2.6,0,1,0.26,0.21,0,0,99,1,0,26,False,True,0,0,52,40,28,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,2.7,0,1,0.26,0.21,0,0,99,1,0,26,False,True,0,0,52,39,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,2.7,0,1,0.26,0.21,0,0,99,1,0,26,False,True,0,0,51,39,26,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,2.7,0,1,0.26,0.21,0,0,99,1,0,26,False,True,0,0,50,36,25,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,2.8,0,1,0.27,0.21,0,0,99,1,0,26,False,True,0,0,52,40,29,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,2.9,0,1,0.27,0.21,0,0,99,1,0,26,False,True,0,0,50,37,25,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,2.9,0,1,0.27,0.21,0,0,99,1,0,26,False,True,0,0,50,36,24,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,2.9,0,1,0.27,0.21,0,0,99,1,0,26,False,True,0,0,52,38,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,3,0,1,0.27,0.21,0,0,99,1,0,26,False,True,0,0,53,38,28,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,3.2,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,52,36,25,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,3.3,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,54,40,28,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,3.6,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,53,39,28,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,3.7,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,51,37,26,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,3.3,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,53,38,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,3.3,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,53,38,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,3.4,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,53,40,29,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,3.3,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,54,40,28,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,3.6,0,1,0.28,0.21,0,0,99,1,0,26,False,True,0,0,54,40,29,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,3.9,0,1,0.29,0.21,0,0,99,1,0,26,False,True,0,0,53,40,29,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,3.9,0,1,0.29,0.21,0,0,99,1,0,26,False,True,0,0,51,39,27,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,3.8,0,1,0.29,0.21,0,0,99,1,0,26,False,True,0,0,51,38,26,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,3.8,0,1,0.29,0.21,0,0,99,1,0,26,False,True,0,0,52,39,26,3.88,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
