Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
144,40,85,5611,False,4.1,0,8/8/2024 11:50:11 AM,False,0,1,86,10.1,2129,,4.1,0,8/8/2024 12:25:35 PM,False,0,1,937B0677,86,2,13,GF,40/85,997,997,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1,0,0,0.23,0.21,0,0,0,1,0,30,False,True,0,0,53,38,26,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1.3,0,1,0.23,0.21,0,0,0,1,0,30,False,True,0,0,53,38,26,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.6,0,1,0.24,0.21,0,0,0,1,0,30,False,True,0,0,53,38,25,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,1.9,0,1,0.25,0.21,0,0,0,1,0,30,False,True,0,0,55,41,28,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,2.2,0,1,0.25,0.21,0,0,0,1,0,30,False,True,0,0,54,39,26,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,2.2,0,1,0.25,0.21,0,0,99,1,0,30,False,True,0,0,57,42,28,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,1.8,0,1,0.25,0.21,0,0,99,1,0,29,False,True,0,0,58,41,29,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,1.8,0,1,0.24,0.21,0,0,99,1,0,29,False,True,0,0,55,39,27,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,1.7,0,1,0.24,0.21,0,0,99,1,0,29,False,True,0,0,61,45,31,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,1.9,0,1,0.24,0.21,0,0,99,1,0,29,False,True,0,0,62,46,34,4.14,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
