Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
111,40,85,8178,False,4.1,0,7/19/2024 9:31:42 AM,False,0,1,86,17,1185,,4.1,1,7/19/2024 9:51:22 AM,False,0,1,937B0677,86,2,13,GF,40/85,996,996,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,4.2,0,1,0.29,0.21,0,0,0,1,0,23,False,True,0,0,58,44,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,4.5,0,1,0.3,0.21,0,0,0,1,0,23,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,4.7,0,1,0.3,0.21,0,0,99,1,0,23,False,True,0,0,54,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,5.3,0,1,0.31,0.21,0,0,99,1,0,23,False,True,0,0,55,41,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,5.8,0,1,0.33,0.21,0,0,99,1,0,23,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,6.2,0,1,0.33,0.21,0,0,99,1,0,23,False,True,0,0,55,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,6.7,0,1,0.34,0.21,0,0,99,1,0,23,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,7.2,0,1,0.36,0.21,0,0,99,1,0,23,False,True,0,0,54,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,7.5,0,1,0.36,0.21,0,0,99,1,0,22,False,True,0,0,55,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,7.5,0,1,0.36,0.21,0,0,99,1,0,22,False,True,0,0,55,41,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,7.7,0,1,0.37,0.21,0,0,99,1,0,22,False,True,0,0,56,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,8.1,0,1,0.37,0.21,0,0,99,1,0,22,False,True,0,0,55,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,8.7,0,1,0.39,0.21,0,0,99,1,0,22,False,True,0,0,55,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,8.900001,0,1,0.39,0.21,0,0,99,1,0,21,False,True,0,0,57,42,32,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,9.3,0,1,0.4,0.21,0,0,99,1,0,21,False,True,0,0,56,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,9.2,0,1,0.4,0.21,0,0,99,1,0,21,False,True,0,0,59,43,32,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,9.400001,0,1,0.4,0.21,0,0,99,1,0,21,False,True,0,0,58,42,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,9.7,0,1,0.41,0.21,0,0,99,1,0,21,False,True,0,0,56,42,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,9.900001,0,1,0.41,0.21,0,0,99,1,0,21,False,True,0,0,57,43,33,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,9.900001,0,1,0.41,0.21,0,0,99,1,0,20,False,True,0,0,58,44,33,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,10.2,0,1,0.42,0.21,0,0,99,1,0,20,False,True,0,0,57,43,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,10.5,0,1,0.42,0.21,0,0,99,1,0,20,False,True,0,0,55,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,11,0,1,0.43,0.21,0,0,99,1,0,20,False,True,0,0,55,41,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,11.3,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,54,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,12,0,5,0.46,0.21,0,0,99,1,0,20,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,12.5,0,5,0.47,0.21,0,0,99,1,0,20,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,12.3,0,5,0.47,0.21,0,0,99,1,0,19,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,12.5,0,5,0.47,0.21,0,0,99,1,0,19,False,True,0,0,56,41,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,13,0,5,0.48,0.21,0,0,99,1,0,19,False,True,0,0,56,42,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,13.2,0,5,0.48,0.21,0,0,99,1,0,19,False,True,0,0,57,43,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,13.4,0,5,0.49,0.21,0,0,99,1,0,19,False,True,0,0,55,41,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,13.3,0,5,0.49,0.21,0,0,84,1,0,19,False,True,0,0,54,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,13.5,0,5,0.49,0.21,0,0,84,1,0,19,False,True,0,0,59,43,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,13.9,0,5,0.5,0.21,0,0,84,1,0,19,False,True,0,0,55,41,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,14.5,0,5,0.51,0.21,0,0,75,1,0,19,False,True,0,0,55,41,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,14.8,0,5,0.51,0.21,0,0,75,1,0,19,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,15,0,5,0.52,0.21,0,0,75,1,0,18,False,True,0,0,54,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,15.4,0,5,0.53,0.21,0,0,75,1,0,18,False,True,0,0,54,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,15.8,0,5,0.53,0.21,0,0,75,1,0,18,False,True,0,0,55,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,16.1,0,5,0.54,0.21,0,0,55,1,0,18,False,True,0,0,55,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,16.2,0,5,0.55,0.21,0,0,55,1,0,18,False,True,0,0,54,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,16.3,0,5,0.55,0.21,0,0,55,1,0,18,False,True,0,0,55,43,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
84000,16.7,0,5,0.55,0.21,0,0,52,1,0,18,False,True,0,0,55,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
86000,16.8,0,5,0.56,0.21,0,0,52,1,0,18,False,True,0,0,54,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
88000,16.9,0,5,0.56,0.21,0,0,52,1,0,17,False,True,0,0,55,40,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
90000,16.9,0,5,0.56,0.21,0,0,52,1,0,17,False,True,0,0,56,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
92000,17,0,5,0.56,0.21,0,0,52,1,0,17,False,True,0,0,55,41,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
94000,16.8,0,5,0.56,0.21,0,0,48,1,0,17,False,True,0,0,55,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
96000,16.6,0,5,0.56,0.21,0,0,48,1,0,17,False,True,0,0,56,42,30,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
98000,16.5,0,5,0.55,0.21,0,0,48,1,0,17,False,True,0,0,56,42,31,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
100000,16.6,0,5,0.55,0.21,0,0,51,1,0,17,False,True,0,0,54,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
102000,16.5,0,5,0.55,0.21,0,0,51,1,0,17,False,True,0,0,54,40,28,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
104000,16.5,0,5,0.55,0.21,0,0,51,1,0,17,False,True,0,0,54,41,29,4.11,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
