Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
165,40,85,167,False,3.9,0,8/18/2024 2:46:49 PM,False,0,1,86,22.2,1767,,3.9,3,8/18/2024 3:16:11 PM,False,0,1,937B0677,86,2,13,GF,40/85,1003,1003,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,4.3,0,1,0.3,0.21,0,0,0,1,0,27,False,True,0,0,51,35,25,3.86,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,4.7,0,1,0.3,0.21,0,0,0,1,0,27,False,True,0,0,52,37,26,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,5.4,0,1,0.32,0.21,0,0,99,1,0,27,False,True,0,0,50,37,25,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,6.4,0,1,0.34,0.21,0,0,99,1,0,27,False,True,0,0,51,37,25,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,7,0,1,0.35,0.21,0,0,99,1,0,27,False,True,0,0,50,37,25,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,7.5,0,1,0.36,0.21,0,0,99,1,0,27,False,True,0,0,50,37,25,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,7.9,0,1,0.37,0.21,0,0,99,1,0,26,False,True,0,0,54,40,28,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,8,0,1,0.38,0.21,0,0,99,1,0,26,False,True,0,0,55,40,29,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,8.7,0,1,0.39,0.21,0,0,99,1,0,26,False,True,0,0,50,35,25,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,9.5,0,1,0.4,0.21,0,0,99,1,0,26,False,True,0,0,50,35,25,3.87,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
