Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
95,40,85,82,False,4,0,7/6/2024 11:07:31 AM,False,0,1,86,19.3,1528,,4,2,7/6/2024 11:32:54 AM,False,0,1,937B0677,86,2,13,GF,40/85,996,996,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.1,0,1,0.27,0.21,0,0,0,1,0,25,False,True,0,0,54,39,29,3.97,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.1,0,1,0.27,0.21,0,0,0,1,0,25,False,True,0,0,54,37,26,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,2.8,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,56,42,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,2.6,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,57,43,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,2.4,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,2.2,0,1,0.25,0.21,0,0,99,1,0,24,False,True,0,0,58,42,31,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,2.3,0,1,0.25,0.21,0,0,99,1,0,24,False,True,0,0,56,41,31,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,2.2,0,1,0.25,0.21,0,0,99,1,0,24,False,True,0,0,58,45,33,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,2,0,1,0.25,0.21,0,0,99,1,0,24,False,True,0,0,53,39,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,2,0,1,0.25,0.21,0,0,99,1,0,24,False,True,0,0,53,38,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,2.2,0,1,0.25,0.21,0,0,99,1,0,24,False,True,0,0,57,41,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,2.6,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,54,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,2.8,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,53,39,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,2.7,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,57,43,31,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,2.5,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,57,43,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,2.6,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,56,41,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,2.7,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,54,40,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,2.7,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,56,42,32,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,2.9,0,1,0.27,0.21,0,0,99,1,0,24,False,True,0,0,55,41,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,3.1,0,1,0.27,0.21,0,0,99,1,0,24,False,True,0,0,53,40,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,3.5,0,1,0.28,0.21,0,0,99,1,0,24,False,True,0,0,58,45,32,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,3.9,0,1,0.29,0.21,0,0,99,1,0,24,False,True,0,0,56,42,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,4.4,0,1,0.29,0.21,0,0,99,1,0,24,False,True,0,0,56,42,31,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,5,0,1,0.31,0.21,0,0,99,1,0,24,False,True,0,0,56,43,31,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,5.5,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,57,44,31,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,6.2,0,1,0.33,0.21,0,0,99,1,0,24,False,True,0,0,53,38,26,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,6.8,0,1,0.35,0.21,0,0,99,1,0,24,False,True,0,0,54,40,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,7.5,0,1,0.36,0.21,0,0,99,1,0,24,False,True,0,0,53,39,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,8.2,0,1,0.37,0.21,0,0,99,1,0,23,False,True,0,0,54,40,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,8.900001,0,1,0.39,0.21,0,0,99,1,0,23,False,True,0,0,54,40,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,9.6,0,1,0.4,0.21,0,0,99,1,0,23,False,True,0,0,55,40,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,10.4,0,1,0.42,0.21,0,0,99,1,0,23,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,10.8,0,1,0.43,0.21,0,0,99,1,0,23,False,True,0,0,52,37,26,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,11.3,0,2,0.44,0.21,0,0,99,1,0,23,False,True,0,0,53,38,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,11.9,0,2,0.45,0.21,0,0,99,1,0,23,False,True,0,0,53,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,12.5,0,2,0.46,0.21,0,0,99,1,0,23,False,True,0,0,53,38,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,13.3,0,5,0.48,0.21,0,0,97,1,0,23,False,True,0,0,52,38,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,13.7,0,5,0.49,0.21,0,0,97,1,0,22,False,True,0,0,53,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,14.2,0,5,0.5,0.21,0,0,75,1,0,22,False,True,0,0,53,37,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,14.6,0,5,0.51,0.21,0,0,75,1,0,22,False,True,0,0,54,38,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,15.1,0,5,0.52,0.21,0,0,75,1,0,22,False,True,0,0,52,37,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,15.2,0,5,0.52,0.21,0,0,75,1,0,22,False,True,0,0,52,38,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
84000,15.4,0,5,0.53,0.21,0,0,75,1,0,22,False,True,0,0,53,39,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
86000,15.4,0,5,0.53,0.21,0,0,59,1,0,22,False,True,0,0,55,40,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
88000,14.9,0,5,0.52,0.21,0,0,59,1,0,22,False,True,0,0,54,40,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
90000,14.7,0,5,0.51,0.21,0,0,59,1,0,21,False,True,0,0,55,40,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
92000,14.7,0,5,0.51,0.21,0,0,66,1,0,21,False,True,0,0,54,40,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
94000,14.6,0,5,0.51,0.21,0,0,66,1,0,21,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
96000,14.7,0,5,0.51,0.21,0,0,66,1,0,21,False,True,0,0,53,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
98000,14.8,0,5,0.52,0.21,0,0,66,1,0,21,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
100000,14.8,0,5,0.52,0.21,0,0,66,1,0,21,False,True,0,0,54,37,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
102000,15,0,5,0.52,0.21,0,0,63,1,0,21,False,True,0,0,53,39,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
104000,15,0,5,0.52,0.21,0,0,63,1,0,21,False,True,0,0,53,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
106000,15.1,0,5,0.52,0.21,0,0,63,1,0,21,False,True,0,0,54,38,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
108000,14.7,0,5,0.51,0.21,0,0,63,1,0,21,False,True,0,0,53,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
110000,14.9,0,5,0.52,0.21,0,0,63,1,0,21,False,True,0,0,53,39,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
112000,15.3,0,5,0.52,0.21,0,0,63,1,0,21,False,True,0,0,55,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
114000,15.6,0,5,0.53,0.21,0,0,63,1,0,21,False,True,0,0,54,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
116000,15.8,0,5,0.54,0.21,0,0,63,1,0,20,False,True,0,0,53,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
118000,15.6,0,5,0.53,0.21,0,0,56,1,0,20,False,True,0,0,55,40,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
120000,15.5,0,5,0.53,0.21,0,0,56,1,0,20,False,True,0,0,54,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
122000,15.4,0,5,0.53,0.21,0,0,56,1,0,20,False,True,0,0,53,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
124000,15.2,0,5,0.53,0.21,0,0,60,1,0,20,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
126000,15.2,0,5,0.52,0.21,0,0,60,1,0,20,False,True,0,0,54,39,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
128000,15,0,5,0.52,0.21,0,0,60,1,0,20,False,True,0,0,53,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
130000,14.5,0,5,0.51,0.21,0,0,60,1,0,20,False,True,0,0,52,37,26,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
132000,14.6,0,5,0.51,0.21,0,0,60,1,0,20,False,True,0,0,54,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
134000,14.3,0,5,0.51,0.21,0,0,67,1,0,19,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
136000,14.5,0,5,0.51,0.21,0,0,67,1,0,19,False,True,0,0,53,37,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
138000,14.7,0,5,0.51,0.21,0,0,67,1,0,19,False,True,0,0,54,40,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
140000,14.5,0,5,0.51,0.21,0,0,67,1,0,19,False,True,0,0,53,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
