Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
91,40,85,75,False,3.9,2,6/29/2024 3:36:20 PM,False,0,1,86,26.9,1538,,3.9,5,6/29/2024 4:01:53 PM,False,0,1,937B0677,86,2,13,GF,40/85,996,996,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3,0,1,0.26,0.21,0,0,0,1,0,25,False,True,0,0,55,40,28,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.4,0,1,0.27,0.21,0,0,0,1,0,25,False,True,0,0,53,38,28,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,3.8,0,1,0.28,0.21,0,0,99,1,0,25,False,True,0,0,53,39,27,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,4.7,0,1,0.3,0.21,0,0,99,1,0,25,False,True,0,0,53,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,5.1,0,1,0.31,0.21,0,0,99,1,0,25,False,True,0,0,53,38,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,5.6,0,1,0.32,0.21,0,0,99,1,0,25,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,6.3,0,1,0.33,0.21,0,0,99,1,0,25,False,True,0,0,51,36,25,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,7,0,1,0.35,0.21,0,0,99,1,0,25,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,7.7,0,1,0.36,0.21,0,0,99,1,0,24,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,8.5,0,1,0.38,0.21,0,0,99,1,0,24,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,9.2,0,1,0.4,0.21,0,0,99,1,0,24,False,True,0,0,54,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,9.900001,0,1,0.41,0.21,0,0,99,1,0,24,False,True,0,0,54,42,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,10.8,0,1,0.43,0.21,0,0,99,1,0,24,False,True,0,0,55,42,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,11.6,0,2,0.45,0.21,0,0,99,1,0,24,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,12.5,0,2,0.46,0.21,0,0,99,1,0,24,False,True,0,0,53,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,13.2,0,5,0.48,0.21,0,0,79,1,0,24,False,True,0,0,53,39,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,13.9,0,5,0.49,0.21,0,0,79,1,0,23,False,True,0,0,53,38,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,14.7,0,5,0.51,0.21,0,0,79,1,0,23,False,True,0,0,51,36,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,15.5,0,5,0.53,0.21,0,0,79,1,0,23,False,True,0,0,54,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,16.1,0,5,0.54,0.21,0,0,79,1,0,23,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,16.6,0,5,0.55,0.21,0,0,79,1,0,23,False,True,0,0,52,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,17,0,5,0.56,0.21,0,0,47,1,0,23,False,True,0,0,52,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,17.2,0,5,0.56,0.21,0,0,47,1,0,22,False,True,0,0,54,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,17.4,0,5,0.57,0.21,0,0,44,1,0,22,False,True,0,0,52,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,17.6,0,5,0.57,0.21,0,0,44,1,0,22,False,True,0,0,54,42,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,17.5,0,5,0.57,0.21,0,0,44,1,0,22,False,True,0,0,52,39,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,17.7,0,5,0.58,0.21,0,0,44,1,0,22,False,True,0,0,53,40,28,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,17.9,0,5,0.58,0.21,0,0,44,1,0,22,False,True,0,0,52,40,29,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,18,0,5,0.58,0.21,0,0,44,1,0,22,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,18.1,0,5,0.58,0.21,0,0,40,1,0,21,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,18.1,0,5,0.58,0.21,0,0,40,1,0,21,False,True,0,0,53,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,18.1,0,5,0.59,0.21,0,0,40,1,0,21,False,True,0,0,53,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,18,0,5,0.59,0.21,0,0,40,1,0,21,False,True,0,0,54,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,17.9,0,5,0.58,0.21,0,0,40,1,0,21,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
