Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
126,40,85,1159,False,3.9,0,7/28/2024 9:38:18 AM,False,0,1,86,24.5,1643,,3.9,3,7/28/2024 10:05:36 AM,False,0,1,937B0677,86,2,13,GF,40/85,1006,1006,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1,0,0,0.23,0.21,0,0,0,1,0,28,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1.3,0,1,0.24,0.21,0,0,0,1,0,28,False,True,0,0,51,37,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.7,0,1,0.24,0.21,0,0,0,1,0,28,False,True,0,0,50,36,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,2.3,0,1,0.25,0.21,0,0,0,1,0,28,False,True,0,0,50,38,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,2.7,0,1,0.26,0.21,0,0,0,1,0,28,False,True,0,0,51,37,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,3.2,0,1,0.28,0.21,0,0,99,1,0,28,False,True,0,0,52,36,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,3.8,0,1,0.29,0.21,0,0,99,1,0,28,False,True,0,0,49,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,4.6,0,1,0.31,0.21,0,0,99,1,0,28,False,True,0,0,49,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,5.2,0,1,0.32,0.21,0,0,99,1,0,28,False,True,0,0,49,37,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,5.4,0,1,0.32,0.21,0,0,99,1,0,28,False,True,0,0,52,36,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,5.9,0,1,0.33,0.21,0,0,99,1,0,27,False,True,0,0,54,39,28,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,6.5,0,1,0.35,0.21,0,0,99,1,0,27,False,True,0,0,52,37,27,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,7.1,0,1,0.36,0.21,0,0,99,1,0,27,False,True,0,0,50,36,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,7.7,0,1,0.37,0.21,0,0,99,1,0,27,False,True,0,0,53,39,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,8.400001,0,1,0.38,0.21,0,0,99,1,0,27,False,True,0,0,52,39,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,9,0,1,0.4,0.21,0,0,99,1,0,27,False,True,0,0,51,39,27,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,9.6,0,1,0.41,0.21,0,0,99,1,0,27,False,True,0,0,52,38,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,10.4,0,1,0.43,0.21,0,0,99,1,0,27,False,True,0,0,50,36,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,11,0,1,0.44,0.21,0,0,99,1,0,27,False,True,0,0,51,38,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,11.9,0,1,0.46,0.21,0,0,99,1,0,26,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,12.7,0,5,0.47,0.21,0,0,99,1,0,26,False,True,0,0,49,36,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,13.5,0,5,0.49,0.21,0,0,99,1,0,26,False,True,0,0,51,38,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,14,0,5,0.5,0.21,0,0,99,1,0,25,False,True,0,0,51,38,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,14.4,0,5,0.51,0.21,0,0,75,1,0,25,False,True,0,0,50,36,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,14.9,0,5,0.52,0.21,0,0,75,1,0,24,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,15.4,0,5,0.53,0.21,0,0,75,1,0,24,False,True,0,0,50,36,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,15.9,0,5,0.54,0.21,0,0,61,1,0,24,False,True,0,0,49,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,16.5,0,5,0.55,0.21,0,0,61,1,0,24,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,17,0,5,0.57,0.21,0,0,61,1,0,23,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,17.6,0,5,0.58,0.21,0,0,61,1,0,23,False,True,0,0,49,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,18.2,0,5,0.59,0.21,0,0,61,1,0,23,False,True,0,0,51,38,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,18.8,0,5,0.6,0.21,0,0,39,1,0,23,False,True,0,0,50,38,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,19.3,0,5,0.61,0.21,0,0,39,1,0,22,False,True,0,0,50,36,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,19.9,0,5,0.63,0.21,0,0,39,1,0,22,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,20.7,0,5,0.64,0.21,0,0,32,1,0,21,False,True,0,0,49,36,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,21.3,0,5,0.65,0.21,0,0,32,1,0,21,False,True,0,0,51,38,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,21.8,0,5,0.66,0.21,0,0,32,1,0,21,False,True,0,0,49,37,24,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,22.4,0,5,0.68,0.21,0,0,32,1,0,21,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,22.7,0,5,0.68,0.21,0,0,32,1,0,20,False,True,0,0,50,37,25,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,23.3,0,6,0.69,0.21,0,0,23,1,0,20,False,True,0,0,50,38,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
