Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
116,40,85,85,False,4,0,7/20/2024 11:11:21 AM,False,0,1,86,32,1618,,4,4,7/20/2024 11:38:14 AM,False,0,1,937B0677,86,2,13,GF,40/85,1000,1000,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.9,0,1,0.25,0.21,0,0,0,1,0,24,False,True,0,0,57,42,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,2.3,0,1,0.25,0.21,0,0,0,1,0,24,False,True,0,0,53,40,28,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,2.6,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,55,41,30,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,3.1,0,1,0.27,0.21,0,0,99,1,0,24,False,True,0,0,56,44,32,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,3.5,0,1,0.28,0.21,0,0,99,1,0,24,False,True,0,0,57,43,31,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,4,0,1,0.29,0.21,0,0,99,1,0,24,False,True,0,0,56,42,31,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,4.6,0,1,0.3,0.21,0,0,99,1,0,24,False,True,0,0,57,43,30,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,5.3,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,52,37,25,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,5.8,0,1,0.33,0.21,0,0,99,1,0,24,False,True,0,0,51,36,24,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,6,0,1,0.33,0.21,0,0,99,1,0,23,False,True,0,0,53,39,27,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,6.3,0,1,0.34,0.21,0,0,99,1,0,23,False,True,0,0,53,39,27,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,6.6,0,1,0.34,0.21,0,0,99,1,0,23,False,True,0,0,55,39,29,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,7,0,1,0.35,0.21,0,0,99,1,0,23,False,True,0,0,51,36,24,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
