Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
156,40,85,107,False,4,2,8/16/2024 12:51:09 PM,False,0,1,86,30,1826,,3.9,5,8/16/2024 1:21:30 PM,False,0,1,937B0677,86,2,13,GF,40/85,1003,1003,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.8,0,1,0.25,0.21,0,0,0,1,0,26,False,True,0,0,51,37,26,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1.8,0,1,0.25,0.21,0,0,0,1,0,26,False,True,0,0,51,36,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.8,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,51,35,26,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,1.8,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,51,36,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,1.9,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,50,36,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,1.9,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,50,35,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,1.9,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,51,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,2.1,0,1,0.25,0.21,0,0,99,1,0,26,False,True,0,0,52,36,26,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,2.2,0,1,0.25,0.21,0,0,99,1,0,25,False,True,0,0,51,35,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,2.4,0,1,0.26,0.21,0,0,99,1,0,25,False,True,0,0,51,35,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,2.6,0,1,0.26,0.21,0,0,99,1,0,25,False,True,0,0,51,36,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,2.9,0,1,0.27,0.21,0,0,99,1,0,25,False,True,0,0,50,34,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,3.1,0,1,0.27,0.21,0,0,99,1,0,25,False,True,0,0,50,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,3.4,0,1,0.28,0.21,0,0,99,1,0,25,False,True,0,0,54,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,3.7,0,1,0.28,0.21,0,0,99,1,0,25,False,True,0,0,53,38,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,4,0,1,0.29,0.21,0,0,99,1,0,25,False,True,0,0,50,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,4.3,0,1,0.3,0.21,0,0,99,1,0,24,False,True,0,0,53,39,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,4.7,0,1,0.3,0.21,0,0,99,1,0,24,False,True,0,0,53,37,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,5.1,0,1,0.31,0.21,0,0,99,1,0,24,False,True,0,0,50,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,5.5,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,50,36,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,5.8,0,1,0.33,0.21,0,0,99,1,0,24,False,True,0,0,52,39,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,6.1,0,1,0.33,0.21,0,0,99,1,0,24,False,True,0,0,53,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,6.4,0,1,0.34,0.21,0,0,99,1,0,23,False,True,0,0,52,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,6.6,0,1,0.35,0.21,0,0,99,1,0,23,False,True,0,0,52,39,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,6.7,0,1,0.35,0.21,0,0,99,1,0,23,False,True,0,0,50,34,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,6.8,0,1,0.35,0.21,0,0,99,1,0,23,False,True,0,0,50,35,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,7.1,0,1,0.35,0.21,0,0,99,1,0,23,False,True,0,0,52,38,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,7.8,0,1,0.37,0.21,0,0,99,1,0,23,False,True,0,0,52,39,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,8.3,0,1,0.38,0.21,0,0,99,1,0,23,False,True,0,0,52,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,8.8,0,1,0.39,0.21,0,0,99,1,0,23,False,True,0,0,51,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,9.2,0,1,0.4,0.21,0,0,99,1,0,23,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,9.400001,0,1,0.4,0.21,0,0,99,1,0,22,False,True,0,0,52,41,30,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,9.8,0,1,0.41,0.21,0,0,99,1,0,22,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,10.1,0,1,0.42,0.21,0,0,99,1,0,22,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,10.5,0,1,0.43,0.21,0,0,99,1,0,22,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,11.1,0,2,0.44,0.21,0,0,99,1,0,22,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,11.6,0,2,0.45,0.21,0,0,99,1,0,22,False,True,0,0,54,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,12.2,0,2,0.46,0.21,0,0,99,1,0,22,False,True,0,0,49,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,12.7,0,2,0.47,0.21,0,0,99,1,0,22,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,13,0,2,0.48,0.21,0,0,99,1,0,22,False,True,0,0,50,35,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,13.4,0,5,0.49,0.21,0,0,80,1,0,21,False,True,0,0,50,36,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,14.1,0,5,0.5,0.21,0,0,80,1,0,21,False,True,0,0,50,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
84000,14.6,0,5,0.51,0.21,0,0,80,1,0,21,False,True,0,0,53,39,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
86000,15.1,0,5,0.52,0.21,0,0,62,1,0,21,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
88000,15.6,0,5,0.53,0.21,0,0,62,1,0,21,False,True,0,0,54,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
90000,16.2,0,5,0.55,0.21,0,0,62,1,0,20,False,True,0,0,50,35,24,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
92000,16.7,0,5,0.55,0.21,0,0,62,1,0,20,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
94000,17.2,0,5,0.57,0.21,0,0,62,1,0,20,False,True,0,0,54,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
96000,17.8,0,5,0.57,0.21,0,0,44,1,0,20,False,True,0,0,54,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
98000,18.5,0,5,0.59,0.21,0,0,44,1,0,19,False,True,0,0,54,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
100000,19.1,0,5,0.6,0.21,0,0,44,1,0,19,False,True,0,0,53,39,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
102000,19.7,0,5,0.61,0.21,0,0,34,1,0,19,False,True,0,0,53,39,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
104000,20.5,0,5,0.63,0.21,0,0,34,1,0,19,False,True,0,0,53,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
106000,21.1,0,5,0.64,0.21,0,0,34,1,0,19,False,True,0,0,53,39,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
108000,21.7,0,5,0.66,0.21,0,0,34,1,0,18,False,True,0,0,53,39,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
110000,22.3,0,5,0.67,0.21,0,0,34,1,0,18,False,True,0,0,52,39,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
112000,23,0,5,0.68,0.21,0,0,34,1,0,19,False,True,0,0,52,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
114000,23.5,0,6,0.69,0.21,0,0,23,1,0,19,False,True,0,0,52,40,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
116000,23.9,0,6,0.71,0.21,0,0,23,1,0,18,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
118000,24.1,0,6,0.71,0.21,0,0,20,1,0,18,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
120000,24.4,0,6,0.72,0.21,0,0,20,1,0,17,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
122000,24.4,0,6,0.72,0.21,0,0,20,1,0,16,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
124000,24.4,0,6,0.72,0.21,0,0,20,1,0,16,False,True,0,0,51,36,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
126000,24.5,0,6,0.72,0.21,0,0,20,1,0,16,False,True,0,0,54,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
128000,24.8,0,6,0.72,0.21,0,0,20,1,0,16,False,True,0,0,53,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
130000,24.7,0,6,0.73,0.21,0,0,19,1,0,15,False,True,0,0,54,41,30,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
132000,24.8,0,6,0.73,0.21,0,0,19,1,0,15,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
134000,25,0,6,0.73,0.21,0,0,18,1,0,15,False,True,0,0,53,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
136000,25.2,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,54,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
138000,25.3,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
140000,25.5,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
142000,25.7,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,54,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
144000,25.5,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,54,41,30,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
146000,25.6,0,6,0.74,0.21,0,0,17,1,0,15,False,True,0,0,52,38,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
148000,25.5,0,6,0.74,0.21,0,0,17,1,0,15,False,True,0,0,52,37,27,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
150000,25.6,0,6,0.74,0.21,0,0,17,1,0,15,False,True,0,0,51,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
152000,25.8,0,6,0.75,0.21,0,0,17,1,0,15,False,True,0,0,51,36,26,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
