Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
86,40,85,2,False,4,0,6/28/2024 11:59:58 AM,False,0,1,86,9.2,343,,4,0,6/28/2024 12:05:36 PM,False,0,1,937B0677,86,2,13,GF,40/85,1001,1001,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.22,0.21,0,0,99,1,0,23,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1.1,0,1,0.23,0.21,0,0,99,1,0,23,False,True,0,0,54,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.5,0,1,0.24,0.21,0,0,99,1,0,23,False,True,0,0,52,38,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,2,0,1,0.25,0.21,0,0,99,1,0,23,False,True,0,0,55,40,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,2.7,0,1,0.26,0.21,0,0,99,1,0,23,False,True,0,0,54,40,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,3,0,1,0.27,0.21,0,0,99,1,0,23,False,True,0,0,52,38,27,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,3.8,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,59,43,32,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,4.7,0,1,0.3,0.21,0,0,99,1,0,23,False,True,0,0,55,39,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,5.4,0,1,0.32,0.21,0,0,99,1,0,23,False,True,0,0,53,39,30,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,6.1,0,1,0.33,0.21,0,0,99,1,0,23,False,True,0,0,54,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,6.8,0,1,0.35,0.21,0,0,99,1,0,23,False,True,0,0,53,38,28,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,7.3,0,1,0.36,0.21,0,0,99,1,0,23,False,True,0,0,54,39,29,3.98,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
