Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
97,40,85,2,False,4,0,7/6/2024 2:59:41 PM,False,0,1,86,5.9,1364,,4,0,7/6/2024 3:22:20 PM,False,0,1,937B0677,86,2,13,GF,40/85,994,994,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,1,0.22,0.21,0,0,99,1,0,23,False,True,0,0,53,39,30,3.97,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,0.9,0,1,0.22,0.21,0,0,99,1,0,23,False,True,0,0,54,40,31,3.96,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.8,0,1,0.24,0.21,0,0,99,1,0,23,False,True,0,0,54,39,29,3.96,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,2.6,0,1,0.26,0.21,0,0,99,1,0,23,False,True,0,0,54,40,31,3.96,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,3.4,0,1,0.27,0.21,0,0,99,1,0,23,False,True,0,0,54,40,29,3.96,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,3.8,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,53,38,29,3.96,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,4.4,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,54,39,30,3.96,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,5.1,0,1,0.31,0.21,0,0,99,1,0,23,False,True,0,0,54,40,31,3.96,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,5.5,0,1,0.32,0.21,0,0,99,1,0,23,False,True,0,0,54,40,31,3.97,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,5.6,0,1,0.32,0.21,0,0,99,1,0,23,False,True,0,0,54,40,30,3.97,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
