Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
118,40,85,7427,False,4,0,7/25/2024 5:54:09 PM,False,0,1,86,6.3,697,,4,0,7/25/2024 6:05:41 PM,False,0,1,937B0677,86,2,13,GF,40/85,1000,1000,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.2,0,1,0.27,0.21,0,0,0,1,0,22,False,True,0,0,54,40,31,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.5,0,1,0.28,0.21,0,0,0,1,0,22,False,True,0,0,55,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,3.6,0,1,0.28,0.21,0,0,99,1,0,22,False,True,0,0,53,39,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,3.5,0,1,0.28,0.21,0,0,99,1,0,22,False,True,0,0,55,40,29,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,3.7,0,1,0.28,0.21,0,0,99,1,0,22,False,True,0,0,52,38,27,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,3.9,0,1,0.29,0.21,0,0,99,1,0,22,False,True,0,0,55,40,31,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,3.9,0,1,0.29,0.21,0,0,99,1,0,21,False,True,0,0,55,40,30,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,3.7,0,1,0.29,0.21,0,0,99,1,0,21,False,True,0,0,53,39,29,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,3.3,0,1,0.28,0.21,0,0,99,1,0,21,False,True,0,0,54,40,29,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,3.2,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,55,41,29,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,3,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,54,41,29,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,3,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,53,40,29,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,3.1,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,57,42,32,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,3.2,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,53,40,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,3.2,0,1,0.28,0.21,0,0,99,1,0,21,False,True,0,0,54,39,31,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,3.3,0,1,0.28,0.21,0,0,99,1,0,21,False,True,0,0,52,38,26,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,2.7,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,52,38,26,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,2.8,0,1,0.26,0.21,0,0,99,1,0,21,False,True,0,0,55,40,29,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,2.8,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,54,41,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,3.1,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,53,40,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,3,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,54,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,2.9,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,55,40,31,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,3,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,53,39,28,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,2.8,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,53,39,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,2.6,0,1,0.26,0.21,0,0,99,1,0,21,False,True,0,0,53,39,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,2.5,0,1,0.26,0.21,0,0,99,1,0,21,False,True,0,0,52,38,26,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,2.3,0,1,0.26,0.21,0,0,99,1,0,21,False,True,0,0,54,42,31,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,2.3,0,1,0.26,0.21,0,0,99,1,0,21,False,True,0,0,55,41,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,2.6,0,1,0.26,0.21,0,0,99,1,0,21,False,True,0,0,53,39,29,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,2.6,0,1,0.26,0.21,0,0,99,1,0,21,False,True,0,0,53,39,29,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,3,0,1,0.27,0.21,0,0,99,1,0,21,False,True,0,0,52,38,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,3.6,0,1,0.28,0.21,0,0,99,1,0,21,False,True,0,0,55,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,4.3,0,1,0.29,0.21,0,0,99,1,0,21,False,True,0,0,53,39,27,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,4.9,0,1,0.31,0.21,0,0,99,1,0,21,False,True,0,0,53,38,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,5.2,0,1,0.32,0.21,0,0,99,1,0,21,False,True,0,0,52,38,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,5.4,0,1,0.32,0.21,0,0,99,1,0,21,False,True,0,0,55,40,31,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,5.5,0,1,0.32,0.21,0,0,99,1,0,21,False,True,0,0,55,41,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,5.6,0,1,0.32,0.21,0,0,99,1,0,20,False,True,0,0,52,38,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,5.6,0,1,0.32,0.21,0,0,99,1,0,20,False,True,0,0,52,38,27,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,5.8,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,52,39,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,5.6,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,55,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,5.7,0,1,0.32,0.21,0,0,99,1,0,20,False,True,0,0,55,40,31,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
84000,6,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,52,38,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
86000,6.2,0,1,0.34,0.21,0,0,99,1,0,20,False,True,0,0,54,39,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
88000,6.1,0,1,0.34,0.21,0,0,99,1,0,20,False,True,0,0,52,39,27,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
90000,6,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,53,39,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
92000,6,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,54,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
94000,5.9,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,53,39,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
96000,6,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,54,39,29,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
98000,5.9,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,55,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
100000,5.9,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,54,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
102000,6,0,1,0.33,0.21,0,0,99,1,0,20,False,True,0,0,54,40,29,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
104000,6.2,0,1,0.34,0.21,0,0,99,1,0,20,False,True,0,0,53,39,28,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
106000,6.1,0,1,0.34,0.21,0,0,99,1,0,19,False,True,0,0,54,40,30,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
