Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
113,40,85,132,False,4.1,0,7/19/2024 1:43:14 PM,False,0,1,86,17.3,1475,,4.1,1,7/19/2024 2:07:44 PM,False,0,1,937B0677,86,2,13,GF,40/85,996,996,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,2,0,1,0.25,0.21,0,0,0,1,0,24,False,True,0,0,56,43,31,4.07,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,2.1,0,1,0.25,0.21,0,0,0,1,0,24,False,True,0,0,52,37,25,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,2.2,0,1,0.25,0.21,0,0,99,1,0,24,False,True,0,0,55,40,29,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,1.8,0,1,0.25,0.21,0,0,99,1,0,23,False,True,0,0,64,48,34,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,1.9,0,1,0.25,0.21,0,0,99,1,0,23,False,True,0,0,63,46,34,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,1.6,0,1,0.24,0.21,0,0,99,1,0,23,False,True,0,0,65,49,35,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,1.6,0,1,0.24,0.21,0,0,99,1,0,23,False,True,0,0,56,41,30,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,1.6,0,1,0.24,0.21,0,0,99,1,0,23,False,True,0,0,56,43,31,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,1.7,0,1,0.24,0.21,0,0,99,1,0,23,False,True,0,0,55,41,30,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,1.9,0,1,0.24,0.21,0,0,99,1,0,23,False,True,0,0,56,42,31,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,2.3,0,1,0.25,0.21,0,0,99,1,0,23,False,True,0,0,55,41,30,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,2.9,0,1,0.27,0.21,0,0,99,1,0,23,False,True,0,0,54,40,28,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,3.2,0,1,0.27,0.21,0,0,99,1,0,23,False,True,0,0,54,40,29,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,3.7,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,53,39,26,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,4.1,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,52,37,26,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,4.2,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,57,43,30,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,4.2,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,54,39,27,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,4.4,0,1,0.3,0.21,0,0,99,1,0,23,False,True,0,0,53,39,27,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,4,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,57,43,31,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,3.7,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,61,47,34,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,3.4,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,56,41,30,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,3.4,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,54,40,28,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,3.4,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,54,39,27,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,3.5,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,53,39,27,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,3.6,0,1,0.28,0.21,0,0,99,1,0,23,False,True,0,0,58,44,32,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,4,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,57,40,29,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,4.1,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,55,40,28,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,3.9,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,55,40,28,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,3.9,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,56,41,29,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,4.1,0,1,0.29,0.21,0,0,99,1,0,23,False,True,0,0,55,40,28,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,4.1,0,1,0.29,0.21,0,0,99,1,0,22,False,True,0,0,62,48,34,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,4.5,0,1,0.3,0.21,0,0,99,1,0,22,False,True,0,0,61,45,32,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,4.9,0,1,0.31,0.21,0,0,99,1,0,22,False,True,0,0,55,41,30,4.08,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
