Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
163,40,85,1118,False,3.9,0,8/18/2024 9:20:34 AM,False,0,1,86,17.7,1677,,3.9,2,8/18/2024 9:48:26 AM,False,0,1,937B0677,86,2,13,GF,40/85,1004,1004,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3,0,1,0.27,0.21,0,0,0,1,0,25,False,True,0,0,51,39,27,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.2,0,1,0.27,0.21,0,0,0,1,0,25,False,True,0,0,52,39,27,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,3.3,0,1,0.28,0.21,0,0,99,1,0,25,False,True,0,0,52,40,28,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,4,0,1,0.29,0.21,0,0,99,1,0,25,False,True,0,0,51,38,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,4.4,0,1,0.3,0.21,0,0,99,1,0,25,False,True,0,0,52,39,28,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,4.7,0,1,0.3,0.21,0,0,99,1,0,25,False,True,0,0,52,39,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,5,0,1,0.31,0.21,0,0,99,1,0,25,False,True,0,0,53,40,28,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,5.1,0,1,0.32,0.21,0,0,99,1,0,25,False,True,0,0,52,40,28,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,5.2,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,52,39,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,5.4,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,52,39,28,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
