Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
90,40,85,123,False,3.9,0,6/29/2024 1:47:40 PM,False,0,1,86,18.5,2086,,3.9,3,6/29/2024 2:22:21 PM,False,0,1,937B0677,86,2,13,GF,40/85,999,999,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.1,0,1,0.27,0.21,0,0,0,1,0,26,False,True,0,0,54,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.8,0,1,0.28,0.21,0,0,0,1,0,25,False,True,0,0,60,44,32,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,4.3,0,1,0.29,0.21,0,0,99,1,0,25,False,True,0,0,54,40,28,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,5,0,1,0.31,0.21,0,0,99,1,0,25,False,True,0,0,51,35,25,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,5.8,0,1,0.33,0.21,0,0,99,1,0,25,False,True,0,0,51,35,25,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,6.4,0,1,0.34,0.21,0,0,99,1,0,25,False,True,0,0,52,39,28,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,7.1,0,1,0.35,0.21,0,0,99,1,0,25,False,True,0,0,51,38,27,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,7.5,0,1,0.36,0.21,0,0,99,1,0,25,False,True,0,0,52,40,29,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,8.1,0,1,0.37,0.21,0,0,99,1,0,25,False,True,0,0,55,39,30,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,8.900001,0,1,0.39,0.21,0,0,99,1,0,25,False,True,0,0,52,37,27,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,9.5,0,1,0.4,0.21,0,0,99,1,0,25,False,True,0,0,51,35,25,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
