Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
138,40,85,1084,False,3.8,0,8/3/2024 10:17:29 AM,False,0,1,86,13.5,1829,,3.8,0,8/3/2024 10:47:53 AM,False,0,1,937B0677,86,2,13,GF,40/85,999,999,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.22,0.21,0,0,0,1,0,32,False,True,0,0,46,31,19,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1.3,0,1,0.23,0.21,0,0,0,1,0,32,False,True,0,0,46,32,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.9,0,1,0.24,0.21,0,0,0,1,0,32,False,True,0,0,47,32,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,2.4,0,1,0.25,0.21,0,0,0,1,0,32,False,True,0,0,46,31,19,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,2.8,0,1,0.26,0.21,0,0,0,1,0,32,False,True,0,0,46,32,19,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,2.9,0,1,0.26,0.21,0,0,99,1,0,31,False,True,0,0,47,32,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,3.3,0,1,0.27,0.21,0,0,99,1,0,31,False,True,0,0,47,32,19,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,3.7,0,1,0.28,0.21,0,0,99,1,0,31,False,True,0,0,47,33,19,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,4.2,0,1,0.29,0.21,0,0,99,1,0,31,False,True,0,0,47,32,19,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,4.9,0,1,0.3,0.21,0,0,99,1,0,31,False,True,0,0,50,35,24,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,5.4,0,1,0.32,0.21,0,0,99,1,0,31,False,True,0,0,49,33,21,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,5.8,0,1,0.32,0.21,0,0,99,1,0,31,False,True,0,0,48,32,21,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,6.3,0,1,0.34,0.21,0,0,99,1,0,30,False,True,0,0,46,31,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,6.5,0,1,0.34,0.21,0,0,99,1,0,30,False,True,0,0,46,31,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,6.8,0,1,0.35,0.21,0,0,99,1,0,30,False,True,0,0,47,32,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,7.2,0,1,0.35,0.21,0,0,99,1,0,30,False,True,0,0,50,36,25,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,7.7,0,1,0.36,0.21,0,0,99,1,0,30,False,True,0,0,48,33,21,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,8.2,0,1,0.37,0.21,0,0,99,1,0,29,False,True,0,0,47,34,22,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,8.7,0,1,0.39,0.21,0,0,99,1,0,29,False,True,0,0,47,32,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,9.400001,0,1,0.4,0.21,0,0,99,1,0,29,False,True,0,0,48,34,22,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,10.1,0,1,0.41,0.21,0,0,99,1,0,29,False,True,0,0,49,34,22,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,10.8,0,1,0.43,0.21,0,0,99,1,0,29,False,True,0,0,48,34,23,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,11.6,0,1,0.44,0.21,0,0,99,1,0,28,False,True,0,0,48,33,21,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,12.2,0,1,0.46,0.21,0,0,99,1,0,28,False,True,0,0,47,32,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,12.2,0,5,0.46,0.21,0,0,99,1,0,28,False,True,0,0,47,32,20,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,12.5,0,5,0.47,0.21,0,0,99,1,0,28,False,True,0,0,48,34,22,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,12.7,0,5,0.47,0.21,0,0,99,1,0,27,False,True,0,0,47,33,21,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,12.7,0,5,0.47,0.21,0,0,99,1,0,27,False,True,0,0,50,35,24,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,12.9,0,5,0.47,0.21,0,0,94,1,0,27,False,True,0,0,47,33,21,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,12.9,0,5,0.48,0.21,0,0,94,1,0,27,False,True,0,0,48,34,21,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,12.9,0,5,0.48,0.21,0,0,94,1,0,26,False,True,0,0,48,34,22,3.79,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
