Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
92,40,85,8441,False,4,0,7/5/2024 12:41:12 PM,False,0,1,86,14.6,1541,,4,0,7/5/2024 1:06:48 PM,False,0,1,937B0677,86,2,13,GF,40/85,993,993,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.3,0,1,0.27,0.21,0,0,0,1,0,33,False,True,0,0,51,34,22,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.7,0,1,0.28,0.21,0,0,0,1,0,32,False,True,0,0,50,34,22,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,4.3,0,1,0.29,0.21,0,0,99,1,0,32,False,True,0,0,51,34,21,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,4.8,0,1,0.3,0.21,0,0,99,1,0,32,False,True,0,0,51,33,21,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,5.2,0,1,0.31,0.21,0,0,99,1,0,32,False,True,0,0,51,33,22,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,5.6,0,1,0.32,0.21,0,0,99,1,0,31,False,True,0,0,51,34,23,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,6,0,1,0.33,0.21,0,0,99,1,0,31,False,True,0,0,50,34,22,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,6.4,0,1,0.34,0.21,0,0,99,1,0,31,False,True,0,0,52,34,22,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,6.6,0,1,0.34,0.21,0,0,99,1,0,31,False,True,0,0,50,35,23,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,7,0,1,0.35,0.21,0,0,99,1,0,30,False,True,0,0,51,34,22,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,7.4,0,1,0.36,0.21,0,0,99,1,0,30,False,True,0,0,50,34,22,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,7.8,0,1,0.37,0.21,0,0,99,1,0,30,False,True,0,0,50,34,21,4.03,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
