Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
103,40,85,5717,False,3.9,0,7/12/2024 9:13:49 AM,False,0,1,86,12.4,752,,3.9,0,7/12/2024 9:26:16 AM,False,0,1,937B0677,86,2,13,GF,40/85,996,996,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,4.1,0,1,0.29,0.21,0,0,0,1,0,26,False,True,0,0,52,37,26,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,4.6,0,1,0.3,0.21,0,0,0,1,0,26,False,True,0,0,52,37,27,3.9,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,5.1,0,1,0.31,0.21,0,0,99,1,0,26,False,True,0,0,53,41,29,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,5.8,0,1,0.32,0.21,0,0,99,1,0,26,False,True,0,0,52,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,6.3,0,1,0.34,0.21,0,0,99,1,0,26,False,True,0,0,53,41,29,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,6.8,0,1,0.35,0.21,0,0,99,1,0,26,False,True,0,0,53,41,29,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,7.4,0,1,0.36,0.21,0,0,99,1,0,26,False,True,0,0,53,40,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,7.8,0,1,0.37,0.21,0,0,99,1,0,25,False,True,0,0,51,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,8.5,0,1,0.38,0.21,0,0,99,1,0,25,False,True,0,0,53,39,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,9.1,0,1,0.39,0.21,0,0,99,1,0,25,False,True,0,0,52,39,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,9.7,0,1,0.41,0.21,0,0,99,1,0,25,False,True,0,0,51,38,26,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,10.4,0,1,0.42,0.21,0,0,99,1,0,25,False,True,0,0,51,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,11,0,1,0.43,0.21,0,0,99,1,0,24,False,True,0,0,53,40,29,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,11.5,0,2,0.44,0.21,0,0,99,1,0,24,False,True,0,0,52,40,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,11.7,0,2,0.45,0.21,0,0,99,1,0,24,False,True,0,0,52,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,11.9,0,5,0.45,0.21,0,0,99,1,0,24,False,True,0,0,52,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,12.1,0,5,0.46,0.21,0,0,99,1,0,24,False,True,0,0,52,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,12.2,0,5,0.46,0.21,0,0,99,1,0,24,False,True,0,0,53,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,12.3,0,5,0.46,0.21,0,0,99,1,0,24,False,True,0,0,53,39,27,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,12.4,0,5,0.47,0.21,0,0,99,1,0,23,False,True,0,0,52,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,12.4,0,5,0.47,0.21,0,0,99,1,0,23,False,True,0,0,51,38,26,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,12.3,0,5,0.46,0.21,0,0,99,1,0,23,False,True,0,0,52,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,12,0,5,0.46,0.21,0,0,99,1,0,23,False,True,0,0,52,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,11.7,0,5,0.45,0.21,0,0,99,1,0,23,False,True,0,0,53,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,11.6,0,5,0.45,0.21,0,0,99,1,0,22,False,True,0,0,53,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,11.7,0,5,0.45,0.21,0,0,99,1,0,22,False,True,0,0,52,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,11.6,0,5,0.45,0.21,0,0,99,1,0,22,False,True,0,0,53,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,11.4,0,5,0.45,0.21,0,0,99,1,0,22,False,True,0,0,53,40,28,3.91,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
