Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
115,40,85,1056,False,4.1,0,7/20/2024 9:13:13 AM,False,0,1,86,13.8,2028,,4,0,7/20/2024 9:46:56 AM,False,0,1,937B0677,86,2,13,GF,40/85,1000,1000,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.1,0,1,0.27,0.21,0,0,0,1,0,24,False,True,0,0,52,37,25,4.04,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,3.5,0,1,0.28,0.21,0,0,0,1,0,24,False,True,0,0,51,37,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,3.6,0,1,0.28,0.21,0,0,99,1,0,24,False,True,0,0,52,37,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,3.9,0,1,0.29,0.21,0,0,99,1,0,24,False,True,0,0,52,37,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,4.4,0,1,0.3,0.21,0,0,99,1,0,24,False,True,0,0,51,36,24,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,5,0,1,0.31,0.21,0,0,99,1,0,24,False,True,0,0,55,39,30,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,5.3,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,52,37,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,5.7,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,5.9,0,1,0.33,0.21,0,0,99,1,0,24,False,True,0,0,53,38,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,6.4,0,1,0.34,0.21,0,0,99,1,0,23,False,True,0,0,51,37,24,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,7,0,1,0.35,0.21,0,0,99,1,0,23,False,True,0,0,53,38,29,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,7.5,0,1,0.36,0.21,0,0,99,1,0,23,False,True,0,0,52,39,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,7.8,0,1,0.37,0.21,0,0,99,1,0,23,False,True,0,0,53,39,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,8,0,1,0.37,0.21,0,0,99,1,0,23,False,True,0,0,54,38,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,8.3,0,1,0.38,0.21,0,0,99,1,0,22,False,True,0,0,51,37,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,8.900001,0,1,0.39,0.21,0,0,99,1,0,22,False,True,0,0,55,39,30,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,9.400001,0,1,0.4,0.21,0,0,99,1,0,22,False,True,0,0,51,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,9.8,0,1,0.41,0.21,0,0,99,1,0,22,False,True,0,0,52,37,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,10.1,0,1,0.42,0.21,0,0,99,1,0,22,False,True,0,0,51,36,24,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,10.2,0,1,0.42,0.21,0,0,99,1,0,22,False,True,0,0,55,39,30,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,10.1,0,1,0.42,0.21,0,0,99,1,0,22,False,True,0,0,55,40,31,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,10.3,0,1,0.42,0.21,0,0,99,1,0,22,False,True,0,0,53,38,29,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,10.6,0,1,0.43,0.21,0,0,99,1,0,22,False,True,0,0,52,38,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,11,0,2,0.44,0.21,0,0,99,1,0,22,False,True,0,0,53,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,11,0,2,0.44,0.21,0,0,99,1,0,21,False,True,0,0,53,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,11,0,2,0.44,0.21,0,0,99,1,0,21,False,True,0,0,53,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,10.9,0,5,0.44,0.21,0,0,99,1,0,21,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,11,0,5,0.44,0.21,0,0,99,1,0,21,False,True,0,0,52,39,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,11.2,0,5,0.44,0.21,0,0,99,1,0,21,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,11.4,0,5,0.44,0.21,0,0,99,1,0,21,False,True,0,0,53,38,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,11.4,0,5,0.45,0.21,0,0,99,1,0,21,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,11.5,0,5,0.45,0.21,0,0,99,1,0,21,False,True,0,0,51,37,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,11.2,0,5,0.44,0.21,0,0,99,1,0,21,False,True,0,0,52,37,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,11,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,11,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,53,39,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,11.1,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,52,37,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,11.1,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,52,37,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,11.2,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,53,39,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,11.3,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,52,37,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,11.3,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,52,37,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,11.2,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,53,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,11,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,54,39,29,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
84000,10.9,0,5,0.43,0.21,0,0,99,1,0,20,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
86000,10.9,0,5,0.44,0.21,0,0,99,1,0,20,False,True,0,0,53,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
88000,11,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,54,40,30,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
90000,11,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,53,39,30,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
92000,11,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,54,40,29,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
94000,11,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,53,39,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
96000,11.1,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
98000,11.4,0,5,0.45,0.21,0,0,99,1,0,19,False,True,0,0,52,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
100000,11.5,0,5,0.45,0.21,0,0,99,1,0,19,False,True,0,0,53,39,29,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
102000,11.5,0,5,0.45,0.21,0,0,99,1,0,19,False,True,0,0,53,39,29,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
104000,11.4,0,5,0.45,0.21,0,0,99,1,0,19,False,True,0,0,53,39,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
106000,11.1,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,52,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
108000,10.9,0,5,0.43,0.21,0,0,99,1,0,19,False,True,0,0,53,39,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
110000,10.9,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,52,38,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
112000,10.9,0,5,0.44,0.21,0,0,99,1,0,19,False,True,0,0,53,40,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
114000,10.8,0,5,0.43,0.21,0,0,99,1,0,19,False,True,0,0,52,38,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
116000,10.9,0,5,0.43,0.21,0,0,99,1,0,18,False,True,0,0,52,36,25,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
118000,11,0,5,0.44,0.21,0,0,99,1,0,18,False,True,0,0,54,38,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
120000,11,0,5,0.44,0.21,0,0,99,1,0,18,False,True,0,0,54,40,29,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
122000,11.2,0,5,0.44,0.21,0,0,99,1,0,18,False,True,0,0,53,39,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
124000,11.4,0,5,0.45,0.21,0,0,99,1,0,18,False,True,0,0,52,37,26,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
126000,11.6,0,5,0.45,0.21,0,0,99,1,0,18,False,True,0,0,53,39,28,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
128000,11.8,0,5,0.45,0.21,0,0,99,1,0,18,False,True,0,0,54,41,30,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
130000,11.9,0,5,0.46,0.21,0,0,99,1,0,18,False,True,0,0,53,39,27,4.05,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
