Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
98,40,85,1104,False,4,0,7/7/2024 9:45:55 AM,False,0,1,86,13.6,1973,,3.9,0,7/7/2024 10:18:43 AM,False,0,1,937B0677,86,2,13,GF,40/85,996,996,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,4.6,0,1,0.3,0.21,0,0,0,1,0,26,False,True,0,0,49,35,25,3.94,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,4.9,0,1,0.31,0.21,0,0,0,1,0,26,False,True,0,0,53,42,31,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,5.3,0,1,0.31,0.21,0,0,99,1,0,26,False,True,0,0,49,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,5.9,0,1,0.33,0.21,0,0,99,1,0,26,False,True,0,0,51,39,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,6.4,0,1,0.34,0.21,0,0,99,1,0,26,False,True,0,0,54,41,30,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,6.9,0,1,0.35,0.21,0,0,99,1,0,26,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,7.1,0,1,0.35,0.21,0,0,99,1,0,25,False,True,0,0,51,35,25,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,7.5,0,1,0.36,0.21,0,0,99,1,0,25,False,True,0,0,53,38,26,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,8.2,0,1,0.38,0.21,0,0,99,1,0,25,False,True,0,0,54,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,8.7,0,1,0.38,0.21,0,0,99,1,0,25,False,True,0,0,54,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,9.2,0,1,0.4,0.21,0,0,99,1,0,24,False,True,0,0,52,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,9.6,0,1,0.41,0.21,0,0,99,1,0,24,False,True,0,0,52,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,10.2,0,1,0.42,0.21,0,0,99,1,0,24,False,True,0,0,53,40,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,10.9,0,1,0.43,0.21,0,0,99,1,0,24,False,True,0,0,52,40,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,11.3,0,1,0.44,0.21,0,0,99,1,0,24,False,True,0,0,52,39,28,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,11.7,0,5,0.45,0.21,0,0,99,1,0,24,False,True,0,0,53,41,29,3.95,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
