Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
117,40,85,123,False,4,1,7/20/2024 1:40:23 PM,False,0,1,86,24.6,1663,,4,5,7/20/2024 2:08:01 PM,False,0,1,937B0677,86,2,13,GF,40/85,999,999,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.9,0,1,0.24,0.21,0,0,0,1,0,24,False,True,0,0,55,39,30,4.01,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,2.1,0,1,0.25,0.21,0,0,0,1,0,24,False,True,0,0,52,38,26,4.01,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,2.5,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,52,38,27,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,2.5,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,58,42,31,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,3.1,0,1,0.27,0.21,0,0,99,1,0,24,False,True,0,0,53,39,27,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,3.4,0,1,0.28,0.21,0,0,99,1,0,24,False,True,0,0,52,38,26,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,3.7,0,1,0.28,0.21,0,0,99,1,0,24,False,True,0,0,53,38,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,3.9,0,1,0.29,0.21,0,0,99,1,0,24,False,True,0,0,52,38,27,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,4.3,0,1,0.3,0.21,0,0,99,1,0,24,False,True,0,0,53,38,27,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,4.7,0,1,0.3,0.21,0,0,99,1,0,24,False,True,0,0,55,41,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,5.2,0,1,0.31,0.21,0,0,99,1,0,24,False,True,0,0,52,37,25,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,5.6,0,1,0.32,0.21,0,0,99,1,0,24,False,True,0,0,51,37,25,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,5.8,0,1,0.33,0.21,0,0,99,1,0,23,False,True,0,0,54,38,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,6.3,0,1,0.34,0.21,0,0,99,1,0,23,False,True,0,0,54,38,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,6.9,0,1,0.35,0.21,0,0,99,1,0,22,False,True,0,0,54,40,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,7.4,0,1,0.36,0.21,0,0,99,1,0,22,False,True,0,0,55,39,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,8.1,0,1,0.37,0.21,0,0,99,1,0,22,False,True,0,0,53,39,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,8.8,0,1,0.39,0.21,0,0,99,1,0,22,False,True,0,0,54,38,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,9.3,0,1,0.4,0.21,0,0,99,1,0,21,False,True,0,0,55,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,9.900001,0,1,0.41,0.21,0,0,99,1,0,21,False,True,0,0,54,38,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,10.4,0,1,0.42,0.21,0,0,99,1,0,21,False,True,0,0,52,37,25,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,11.2,0,1,0.44,0.21,0,0,99,1,0,21,False,True,0,0,55,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,11.8,0,1,0.45,0.21,0,0,99,1,0,21,False,True,0,0,54,38,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,12.5,0,5,0.46,0.21,0,0,99,1,0,21,False,True,0,0,54,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,13.1,0,5,0.48,0.21,0,0,99,1,0,21,False,True,0,0,54,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,13.7,0,5,0.49,0.21,0,0,77,1,0,20,False,True,0,0,53,38,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,14.3,0,5,0.5,0.21,0,0,77,1,0,20,False,True,0,0,54,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,14.9,0,5,0.52,0.21,0,0,77,1,0,20,False,True,0,0,54,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,15.4,0,5,0.53,0.21,0,0,63,1,0,20,False,True,0,0,53,39,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,16,0,5,0.54,0.21,0,0,63,1,0,20,False,True,0,0,54,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,16.5,0,5,0.55,0.21,0,0,63,1,0,20,False,True,0,0,54,39,29,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,16.8,0,5,0.56,0.21,0,0,63,1,0,20,False,True,0,0,54,39,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,17.1,0,5,0.56,0.21,0,0,63,1,0,20,False,True,0,0,53,39,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,17.5,0,5,0.57,0.21,0,0,45,1,0,20,False,True,0,0,54,39,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,17.9,0,5,0.58,0.21,0,0,45,1,0,20,False,True,0,0,55,39,30,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,18.3,0,5,0.59,0.21,0,0,45,1,0,20,False,True,0,0,52,37,27,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,18.6,0,5,0.6,0.21,0,0,39,1,0,19,False,True,0,0,53,38,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,19.1,0,5,0.6,0.21,0,0,39,1,0,19,False,True,0,0,54,37,27,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,19.5,0,5,0.61,0.21,0,0,39,1,0,19,False,True,0,0,54,38,27,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,20,0,5,0.62,0.21,0,0,39,1,0,19,False,True,0,0,53,39,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,20.5,0,5,0.63,0.21,0,0,39,1,0,19,False,True,0,0,54,40,31,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,20.8,0,6,0.64,0.21,0,0,29,1,0,18,False,True,0,0,54,38,28,4.02,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
