Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
124,40,85,84,False,3.9,0,7/27/2024 11:18:36 AM,False,0,1,86,26.7,1849,,3.9,4,7/27/2024 11:49:20 AM,False,0,1,937B0677,86,2,13,GF,40/85,1007,1007,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,5.5,0,1,0.32,0.21,0,0,0,1,0,27,False,True,0,0,51,38,27,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,6.3,0,1,0.33,0.21,0,0,0,1,0,27,False,True,0,0,52,40,28,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,6.9,0,1,0.35,0.21,0,0,99,1,0,27,False,True,0,0,52,39,27,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,7.6,0,1,0.37,0.21,0,0,99,1,0,27,False,True,0,0,52,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,8.3,0,1,0.38,0.21,0,0,99,1,0,27,False,True,0,0,51,38,26,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,9,0,1,0.39,0.21,0,0,99,1,0,27,False,True,0,0,51,38,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,9.8,0,1,0.41,0.21,0,0,99,1,0,26,False,True,0,0,51,38,25,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,10.5,0,1,0.42,0.21,0,0,99,1,0,26,False,True,0,0,51,38,26,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,10.9,0,1,0.44,0.21,0,0,99,1,0,26,False,True,0,0,52,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,11.6,0,1,0.45,0.21,0,0,99,1,0,25,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,12.3,0,1,0.46,0.21,0,0,99,1,0,25,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,12.9,0,1,0.48,0.21,0,0,99,1,0,25,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,13.6,0,1,0.49,0.21,0,0,99,1,0,25,False,True,0,0,51,38,26,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,14.1,0,5,0.5,0.21,0,0,77,1,0,25,False,True,0,0,51,38,26,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,14.8,0,5,0.52,0.21,0,0,77,1,0,25,False,True,0,0,53,40,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,15.6,0,5,0.53,0.21,0,0,59,1,0,24,False,True,0,0,51,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,16.5,0,5,0.55,0.21,0,0,59,1,0,24,False,True,0,0,51,38,26,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,17.2,0,5,0.56,0.21,0,0,59,1,0,24,False,True,0,0,52,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,17.8,0,5,0.58,0.21,0,0,59,1,0,24,False,True,0,0,51,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,18.3,0,5,0.59,0.21,0,0,59,1,0,23,False,True,0,0,52,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,19,0,5,0.6,0.21,0,0,59,1,0,23,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,19,0,5,0.61,0.21,0,0,36,1,0,23,False,True,0,0,54,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,19.6,0,5,0.62,0.21,0,0,36,1,0,22,False,True,0,0,51,39,26,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,20.2,0,5,0.63,0.21,0,0,36,1,0,22,False,True,0,0,52,40,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,20.7,0,5,0.64,0.21,0,0,32,1,0,22,False,True,0,0,52,40,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,21.1,0,5,0.65,0.21,0,0,32,1,0,22,False,True,0,0,52,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,21.5,0,5,0.66,0.21,0,0,32,1,0,21,False,True,0,0,52,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,22,0,5,0.67,0.21,0,0,32,1,0,21,False,True,0,0,52,39,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,22.5,0,5,0.68,0.21,0,0,32,1,0,21,False,True,0,0,53,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,22.9,0,6,0.69,0.21,0,0,23,1,0,20,False,True,0,0,52,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,23.3,0,6,0.69,0.21,0,0,23,1,0,20,False,True,0,0,53,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,23.7,0,6,0.7,0.21,0,0,23,1,0,19,False,True,0,0,53,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,24.1,0,6,0.71,0.21,0,0,21,1,0,19,False,True,0,0,53,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,24.4,0,6,0.72,0.21,0,0,21,1,0,19,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,24.6,0,6,0.72,0.21,0,0,21,1,0,19,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,24.6,0,6,0.72,0.21,0,0,21,1,0,19,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,24.8,0,6,0.73,0.21,0,0,21,1,0,18,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,24.8,0,6,0.73,0.21,0,0,19,1,0,18,False,True,0,0,52,39,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,25,0,6,0.73,0.21,0,0,19,1,0,18,False,True,0,0,52,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,24.9,0,6,0.73,0.21,0,0,19,1,0,18,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,24.7,0,6,0.73,0.21,0,0,19,1,0,18,False,True,0,0,53,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,24.7,0,6,0.73,0.21,0,0,19,1,0,17,False,True,0,0,52,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
84000,24.7,0,6,0.73,0.21,0,0,19,1,0,17,False,True,0,0,52,40,28,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
86000,24.7,0,6,0.73,0.21,0,0,19,1,0,17,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
88000,24.7,0,6,0.73,0.21,0,0,19,1,0,17,False,True,0,0,53,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
90000,24.6,0,6,0.73,0.21,0,0,19,1,0,16,False,True,0,0,53,39,27,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
92000,24.6,0,6,0.72,0.21,0,0,19,1,0,16,False,True,0,0,54,42,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
94000,24.6,0,6,0.72,0.21,0,0,19,1,0,16,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
96000,24.6,0,6,0.72,0.21,0,0,19,1,0,16,False,True,0,0,53,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
98000,24.6,0,6,0.72,0.21,0,0,19,1,0,16,False,True,0,0,52,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
100000,24.8,0,6,0.73,0.21,0,0,19,1,0,16,False,True,0,0,52,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
102000,24.9,0,6,0.73,0.21,0,0,19,1,0,16,False,True,0,0,52,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
104000,24.9,0,6,0.73,0.21,0,0,19,1,0,16,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
106000,25,0,6,0.73,0.21,0,0,18,1,0,16,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
108000,25.1,0,6,0.73,0.21,0,0,18,1,0,15,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
110000,25.3,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
112000,25.4,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,52,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
114000,25.4,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,53,41,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
116000,25.4,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,52,40,28,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
118000,25.4,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,53,40,29,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
120000,25.5,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,52,42,31,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
122000,25.6,0,6,0.74,0.21,0,0,18,1,0,15,False,True,0,0,52,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
124000,25.7,0,6,0.75,0.21,0,0,17,1,0,15,False,True,0,0,53,41,30,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
126000,25.8,0,6,0.75,0.21,0,0,17,1,0,14,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
128000,25.8,0,6,0.75,0.21,0,0,17,1,0,14,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
130000,25.8,0,6,0.75,0.21,0,0,17,1,0,14,False,True,0,0,53,41,29,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
132000,25.9,0,6,0.75,0.21,0,0,17,1,0,14,False,True,0,0,54,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
134000,26,0,6,0.75,0.21,0,0,17,1,0,14,False,True,0,0,53,40,29,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
136000,26.1,0,6,0.75,0.21,0,0,17,1,0,14,False,True,0,0,54,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
138000,26.1,0,6,0.76,0.21,0,0,17,1,0,14,False,True,0,0,54,41,31,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
140000,26.3,0,6,0.76,0.21,0,0,16,1,0,14,False,True,0,0,54,41,31,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
142000,26.4,0,6,0.76,0.21,0,0,16,1,0,14,False,True,0,0,53,42,32,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
144000,26.4,0,6,0.76,0.21,0,0,16,1,0,14,False,True,0,0,54,42,32,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
146000,26.6,0,6,0.76,0.21,0,0,15,1,0,13,False,True,0,0,53,42,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
148000,26.5,0,6,0.76,0.21,0,0,15,1,0,13,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
150000,26.4,0,6,0.76,0.21,0,0,15,1,0,13,False,True,0,0,52,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
152000,26.3,0,6,0.76,0.21,0,0,15,1,0,13,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
154000,26.4,0,6,0.76,0.21,0,0,15,1,0,13,False,True,0,0,54,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
156000,26.6,0,6,0.76,0.21,0,0,15,1,0,13,False,True,0,0,54,42,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
158000,26.7,0,6,0.77,0.21,0,0,15,1,0,12,False,True,0,0,53,42,31,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
160000,26.6,0,6,0.77,0.21,0,0,15,1,0,12,False,True,0,0,53,41,31,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
162000,26.6,0,6,0.77,0.21,0,0,15,1,0,12,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
164000,26.5,0,6,0.77,0.21,0,0,15,1,0,12,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
166000,26.4,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,54,42,31,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
168000,26.4,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,53,40,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
170000,26.1,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
172000,26,0,6,0.75,0.21,0,0,15,1,0,12,False,True,0,0,53,41,31,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
174000,26.1,0,6,0.75,0.21,0,0,15,1,0,12,False,True,0,0,54,43,32,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
176000,26,0,6,0.75,0.21,0,0,15,1,0,12,False,True,0,0,54,43,33,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
178000,26,0,6,0.75,0.21,0,0,15,1,0,12,False,True,0,0,55,43,32,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
180000,26.1,0,6,0.75,0.21,0,0,15,1,0,12,False,True,0,0,55,43,32,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
182000,26.2,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,54,42,32,3.93,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
184000,26.3,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,43,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
186000,26.3,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,43,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
188000,26.3,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
190000,26.2,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,54,42,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
192000,26.2,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,54,42,31,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
194000,26.3,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
196000,26.3,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,44,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
198000,26.3,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,45,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
200000,26.4,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,56,45,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
202000,26.5,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
204000,26.5,0,6,0.76,0.21,0,0,15,1,0,12,False,True,0,0,55,45,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
206000,26.4,0,6,0.76,0.21,0,0,14,1,0,12,False,True,0,0,54,42,31,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
208000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,54,43,32,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
210000,26.5,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,44,32,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
212000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,45,35,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
214000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,44,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
216000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
218000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,44,35,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
220000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,45,35,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
222000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,45,35,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
224000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
226000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,44,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
228000,26.3,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,45,35,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
230000,26.3,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,44,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
232000,26.3,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,45,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
234000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
236000,26.4,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,53,41,30,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
238000,26.2,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
240000,26.1,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,56,45,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
242000,26.1,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,43,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
244000,26.1,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,55,43,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
246000,26.1,0,6,0.76,0.21,0,0,14,1,0,11,False,True,0,0,53,41,31,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
248000,26.1,0,6,0.75,0.21,0,0,14,1,0,11,False,True,0,0,55,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
250000,26,0,6,0.75,0.21,0,0,14,1,0,11,False,True,0,0,55,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
252000,26.1,0,6,0.75,0.21,0,0,14,1,0,11,False,True,0,0,56,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
254000,26.1,0,6,0.76,0.21,0,0,14,1,0,10,False,True,0,0,56,44,34,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
256000,26.2,0,6,0.76,0.21,0,0,14,1,0,10,False,True,0,0,55,44,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
258000,26.3,0,6,0.76,0.21,0,0,14,1,0,10,False,True,0,0,54,43,33,3.92,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
