Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
142,40,85,91,False,3.8,0,8/4/2024 11:28:52 AM,False,0,1,86,27.2,1657,,3.8,9,8/4/2024 11:56:24 AM,False,0,1,937B0677,86,2,13,GF,40/85,1003,1003,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,2.4,0,1,0.39,0.32,0,0,0,1,0,30,False,True,0,0,49,35,23,3.77,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,2.5,0,1,0.4,0.32,0,0,0,1,0,30,False,True,0,0,53,39,27,3.77,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,2.8,0,1,0.4,0.32,0,0,99,1,0,30,False,True,0,0,48,35,24,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,3,0,1,0.41,0.32,0,0,99,1,0,30,False,True,0,0,50,37,25,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,3.4,0,1,0.42,0.32,0,0,99,1,0,30,False,True,0,0,51,37,26,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,3.6,0,1,0.43,0.32,0,0,99,1,0,30,False,True,0,0,49,35,24,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,3.8,0,1,0.44,0.32,0,0,99,1,0,30,False,True,0,0,49,35,25,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,4.1,0,1,0.45,0.32,0,0,99,1,0,30,False,True,0,0,51,38,27,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,4.4,0,1,0.46,0.32,0,0,99,1,0,30,False,True,0,0,49,35,24,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,4.5,0,1,0.46,0.32,0,0,99,1,0,29,False,True,0,0,66,48,35,3.78,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
