Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
127,40,85,86,False,3.9,2,7/28/2024 11:31:09 AM,False,0,1,86,23.8,1613,,3.9,5,7/28/2024 11:57:57 AM,False,0,1,937B0677,86,2,13,GF,40/85,1003,1003,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.22,0.21,0,0,0,1,0,30,False,True,0,0,53,37,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1,0,1,0.23,0.21,0,0,0,1,0,30,False,True,0,0,51,38,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.5,0,1,0.24,0.21,0,0,0,1,0,30,False,True,0,0,51,35,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,2.1,0,1,0.25,0.21,0,0,0,1,0,30,False,True,0,0,50,35,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,2.5,0,1,0.26,0.21,0,0,0,1,0,29,False,True,0,0,52,39,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,2.9,0,1,0.26,0.21,0,0,99,1,0,29,False,True,0,0,50,37,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,3.3,0,1,0.28,0.21,0,0,99,1,0,29,False,True,0,0,50,37,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,3.8,0,1,0.28,0.21,0,0,99,1,0,29,False,True,0,0,50,38,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,4.3,0,1,0.3,0.21,0,0,99,1,0,29,False,True,0,0,49,37,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,5.1,0,1,0.31,0.21,0,0,99,1,0,29,False,True,0,0,49,36,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
20000,5.5,0,1,0.32,0.21,0,0,99,1,0,29,False,True,0,0,51,38,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
22000,6.4,0,1,0.34,0.21,0,0,99,1,0,29,False,True,0,0,49,37,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
24000,7.2,0,1,0.35,0.21,0,0,99,1,0,29,False,True,0,0,53,38,27,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
26000,8,0,1,0.37,0.21,0,0,99,1,0,28,False,True,0,0,53,38,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
28000,8.8,0,1,0.39,0.21,0,0,99,1,0,28,False,True,0,0,52,38,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
30000,9.5,0,1,0.4,0.21,0,0,99,1,0,28,False,True,0,0,50,33,22,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
32000,10.1,0,1,0.42,0.21,0,0,99,1,0,28,False,True,0,0,53,38,27,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
34000,10.7,0,1,0.43,0.21,0,0,99,1,0,28,False,True,0,0,49,37,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
36000,11.5,0,1,0.44,0.21,0,0,99,1,0,27,False,True,0,0,50,36,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
38000,12.2,0,1,0.46,0.21,0,0,99,1,0,27,False,True,0,0,51,38,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
40000,13,0,1,0.48,0.21,0,0,99,1,0,27,False,True,0,0,52,37,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
42000,13.4,0,5,0.49,0.21,0,0,86,1,0,27,False,True,0,0,52,37,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
44000,14,0,5,0.5,0.21,0,0,86,1,0,26,False,True,0,0,51,37,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
46000,14.6,0,5,0.51,0.21,0,0,66,1,0,26,False,True,0,0,50,35,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
48000,15.3,0,5,0.52,0.21,0,0,66,1,0,26,False,True,0,0,50,35,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
50000,16,0,5,0.54,0.21,0,0,66,1,0,26,False,True,0,0,50,34,22,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
52000,16.7,0,5,0.55,0.21,0,0,66,1,0,25,False,True,0,0,51,35,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
54000,17.4,0,5,0.57,0.21,0,0,66,1,0,25,False,True,0,0,52,39,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
56000,17.9,0,5,0.58,0.21,0,0,66,1,0,25,False,True,0,0,51,38,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
58000,18.4,0,5,0.59,0.21,0,0,41,1,0,24,False,True,0,0,50,37,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
60000,18.4,0,5,0.59,0.21,0,0,41,1,0,24,False,True,0,0,53,38,28,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
62000,18.7,0,5,0.6,0.21,0,0,37,1,0,24,False,True,0,0,52,39,27,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
64000,18.8,0,5,0.6,0.21,0,0,37,1,0,23,False,True,0,0,53,40,28,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
66000,18.9,0,5,0.6,0.21,0,0,37,1,0,23,False,True,0,0,50,37,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
68000,19.3,0,5,0.61,0.21,0,0,37,1,0,23,False,True,0,0,50,38,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
70000,19.5,0,5,0.62,0.21,0,0,37,1,0,22,False,True,0,0,53,39,28,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
72000,19.4,0,5,0.61,0.21,0,0,37,1,0,22,False,True,0,0,53,38,28,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
74000,19.6,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,49,37,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
76000,19.5,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,49,36,23,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
78000,19.5,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,49,36,23,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
80000,19.5,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,50,37,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
82000,19.6,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,50,37,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
84000,19.5,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,50,37,25,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
86000,19.6,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,50,38,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
88000,19.4,0,5,0.61,0.21,0,0,34,1,0,21,False,True,0,0,51,38,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
90000,19.6,0,5,0.62,0.21,0,0,34,1,0,21,False,True,0,0,50,36,24,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
92000,19.7,0,5,0.62,0.21,0,0,34,1,0,20,False,True,0,0,50,38,26,3.89,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
